peak_load,beta,policy,accuracy,J_per_query,forwarded_on_arrival,skipped_on_escalation,olt_rate_error,final_user,final_onu,final_olt,J_stepwise_same_accuracy,saving_same_accuracy
2.0,0.1,stepwise,0.5034732272069464,35.348269156001486,0.0,0.0,nan,0.8995176073323685,0.09064158224794983,0.009840810419681621,35.348269156001486,0.0
2.0,0.1,skip_onu,0.5336870879562631,45.97752078447433,0.0,0.10048239266763145,nan,0.8995176073323685,0.0,0.10048239266763145,51.820580721475416,0.11275558582421696
2.0,0.1,schedule,0.5151471297636276,34.64395846690169,0.0,0.038945168033445894,nan,0.8995176073323685,0.05550731628879241,0.04497507637883904,41.7127705910915,0.16946398007183638
2.0,0.1,broadcast,0.5144557002733559,34.38350516765976,0.00247628236050812,0.03262582408747387,0.19314388622044387,0.8972021225277376,0.060974433188615534,0.04182344428364689,41.33580976229138,0.16819084069265933
2.0,0.1,piggyback,0.5045988100980865,35.718679750480085,1.6079755587715066e-05,0.005016883743367101,0.7230398615285943,0.8995015275767808,0.08599453288310017,0.01450393954011899,35.961926319164434,0.006764002754622189
2.0,0.1,oracle,0.5124296510693037,33.90385528564194,0.0,0.029763627592860588,nan,0.8995176073323685,0.06380447017205339,0.036677922495578066,40.23122686859806,0.15727513365730494
2.0,0.2,stepwise,0.5512301013024602,61.38486593591502,0.0,0.0,nan,0.7993407300209037,0.16058851905451038,0.040070750924585945,61.38486593591502,0.0
2.0,0.2,skip_onu,0.598761858819746,75.23729778611369,0.0,0.2006592699790963,nan,0.7993407300209037,0.0,0.2006592699790963,96.78058056938573,0.2225992307188821
2.0,0.2,schedule,0.5752854156616819,59.72766224330068,0.0,0.10254060138285898,nan,0.7993407300209037,0.07863000482392668,0.12202926515516964,79.0475802887587,0.24440872161909166
2.0,0.2,broadcast,0.5718604277214986,58.07166120477931,0.003392828429007879,0.08250522592056601,0.1928607439916506,0.7965428525486412,0.09411480945489628,0.10934233799646245,76.53276868638189,0.24121834082931215
2.0,0.2,piggyback,0.5580800771828268,62.32646290893325,0.000241196333815726,0.029345553947579997,0.7294386463219796,0.7991638527094388,0.13701559736292007,0.0638205499276411,66.41448914066865,0.06155322858957457
2.0,0.2,oracle,0.5717961086991478,57.630372251298915,0.0039716996301656215,0.0812188454735488,nan,0.7960765396365975,0.09490271747869432,0.10902074288470816,76.48554217741709,0.24651939947528145
2.0,0.3,stepwise,0.5941148094548963,92.87314078821056,0.0,0.0,nan,0.7000160797555877,0.2104518411320148,0.0895320791123975,92.87314078821056,0.0
2.0,0.3,skip_onu,0.6491236533204695,103.55117998640891,0.0,0.2999839202444123,nan,0.7000160797555877,0.0,0.2999839202444123,139.24999986389426,0.2563649544874549
2.0,0.3,schedule,0.6291686766361151,89.82732147855853,0.0,0.18940344106769577,nan,0.7000160797555877,0.07748834217719891,0.22249557806721337,122.34794605797438,0.2658044178690667
2.0,0.3,broadcast,0.6230101302460203,85.70154731628787,0.006608779546550893,0.1476925550731629,0.19309818551523625,0.6954011899019135,0.10551535616658626,0.19908345393150023,117.1695743064517,0.2685682454376819
2.0,0.3,piggyback,0.6116417430455057,91.91853050655627,0.000241196333815726,0.09784531275124618,0.6979128831477615,0.6998231226885351,0.14177520501688373,0.15840167229458113,107.61054342309248,0.14582226255321384
2.0,0.3,oracle,0.6230422897571957,84.7834130245199,0.005097282521305676,0.14971860427721498,nan,0.6964142145039396,0.10451841132014793,0.19906737417591253,117.19661541220376,0.2765711473294701
2.0,0.4,stepwise,0.638880849011095,130.51435999510161,0.0,0.0,nan,0.6001929570670526,0.2398938736131211,0.15991316931982633,130.51435999510161,0.0
2.0,0.4,skip_onu,0.6955137481910275,132.1738811661892,0.0,0.39980704293294744,nan,0.6001929570670526,0.0,0.39980704293294744,179.55808488065938,0.263893456794014
2.0,0.4,schedule,0.6823283486091012,121.43653394891612,0.0,0.306094227367744,nan,0.6001929570670526,0.05632738382376588,0.34347965910918155,167.56883240558474,0.27530357402628247
2.0,0.4,broadcast,0.6753175751728574,116.62366038947248,0.009036822640295868,0.23746583051937611,0.19227072184700478,0.5949348769898698,0.09532079112397492,0.30974433188615536,161.58965032898567,0.2782727102135901
2.0,0.4,piggyback,0.6689982312268854,123.81305805232705,0.00016079755587715066,0.2125743688695932,0.6794917280454009,0.600112558289114,0.11251004984724232,0.2873773918636437,156.20015822783105,0.20734358110101714
2.0,0.4,oracle,0.6770541887763306,115.83050748832358,0.010741276732593664,0.24730664093905771,nan,0.593905772632256,0.08935520180093262,0.3167390255668114,163.07073212777624,0.2896916204585196
2.0,0.5,stepwise,0.6883260974433189,172.6840500995559,0.0,0.0,nan,0.49942112879884226,0.2502974754783727,0.250281395722785,172.6840500995559,0.0
2.0,0.5,skip_onu,0.7429329474191992,160.3389006378882,0.0,0.5005788712011577,nan,0.49942112879884226,0.0,0.5005788712011577,225.43618021895134,0.28876145576028844
2.0,0.5,schedule,0.7355362598488503,154.484892072596,0.0,0.434876989869754,nan,0.49942112879884226,0.032448946776009006,0.4681299244251487,217.8343098698462,0.2908146923003122
2.0,0.5,broadcast,0.730020903682264,150.43682356062678,0.011609583534330278,0.36013828589805436,0.1924442263620325,0.49356809776491395,0.0672455378678244,0.4391863643672616,212.55960309150507,0.2922605171789626
2.0,0.5,piggyback,0.7292169159028783,156.85265305339635,4.82392667631452e-05,0.370204212895964,0.6120724436927948,0.49938896928766685,0.06541244573082489,0.43519858498150826,211.79069539786934,0.25939780896071263
2.0,0.5,oracle,0.7324007075092459,149.93731829401455,0.01421450393954012,0.3765557163531114,nan,0.49250683389612476,0.05841775205016884,0.4490754140537064,214.8355698646669,0.30208336362332466
2.0,0.6,stepwise,0.7376587875864287,219.86422618104453,0.0,0.0,nan,0.4005145521788069,0.24021546872487537,0.35926997909631775,219.86422618104453,0.0
